iso3,en_short,fr_short,es_short,ru_short,zh_short,ar_short
ABW,Aruba,Aruba,Aruba,Аруба,阿鲁巴,أروبا
AFG,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان
AGO,Angola,Angola,Angola,Ангола,安哥拉,أنغولا
AIA,Anguilla,Anguilla,Anguila,Ангилья,安圭拉,أنغويلا
ALA,Åland Islands,Îles d’Åland,Islas Åland,Аландских островов,奥兰群岛,جزر ألاند
ALB,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا
AND,Andorra,Andorre,Andorra,Андорра,安道尔,أندورا
ARE,United Arab Emirates,Émirats arabes unis,Emiratos Árabes Unidos,Объединенные Арабские Эмираты,阿拉伯联合酋长国,الإمارات العربية المتحدة
ARG,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين
ARM,Armenia,Arménie,Armenia,Армения,亚美尼亚,أرمينيا
ASM,American Samoa,Samoa américaines,Samoa Americana,Американское Самоа,美属萨摩亚,ساموا الأمريكية
ATA,Antarctica,Antarctique,Antártida,Антарктике,南极洲,أنتاركتيكا
ATF,French Southern Territories,Terres australes françaises,Territorio de las Tierras Australes Francesas,Южные земли (французская заморская территория),法属南方领地,الأراضي الفرنسية الجنوبية الجنوبية
ATG,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Барбуда,安提瓜和巴布达,أنتيغوا وبربودا
AUS,Australia,Australie,Australia,Австралия,澳大利亚,أستراليا
AUT,Austria,Autriche,Austria,Австрия,奥地利,النمسا
AZE,Azerbaijan,Azerbaïdjan,Azerbaiyán,Азербайджан,阿塞拜疆,أذربيجان
BDI,Burundi,Burundi,Burundi,Бурунди,布隆迪,بوروندي
BEL,Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا
BEN,Benin,Bénin,Benin,Бенин,贝宁,بنن
BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","Bonaire, San Eustaquio y Saba","Бонайре, Синт-Эстатиус и Саба",博纳尔，圣俄斯塔休斯和萨巴,بونير وسانت يوستاشيوس وسابا
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Буркина-Фасо,布基纳法索,بوركينا فاسو
BGD,Bangladesh,Bangladesh,Bangladesh,Бангладеш,孟加拉国,بنغلاديش
BGR,Bulgaria,Bulgarie,Bulgaria,Болгария,保加利亚,بلغاريا
BHR,Bahrain,Bahreïn,Bahrein,Бахрейн,巴林,البحرين
BHS,Bahamas,Bahamas,Bahamas,Багамские Острова,巴哈马,جزر البهاما
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina,Босния и Герцеговина,波斯尼亚和黑塞哥维那,البوسنة والهرسك
BLM,Saint Barthélemy,Saint-Barthélemy,San Barthélemy,Сен-Бартелеми,圣巴泰勒米,سان بارتليمي
BLR,Belarus,Bélarus,Belarús,Беларусь,白俄罗斯,بيلاروس
BLZ,Belize,Belize,Belice,Белиз,伯利兹,بليز
BMU,Bermuda,Bermudes,Bermuda,Бермудские острова,百慕大,برمودا
BOL,Bolivia (Plurinational State of),Bolivie (État plurinational de),Bolivia (Estado Plurinacional de),Боливия (Многонациональное Государство),多民族玻利维亚国,بوليفيا (دولة - المتعددة القوميات)
BRA,Brazil,Brésil,Brasil,Бразилия,巴西,البرازيل
BRB,Barbados,Barbade,Barbados,Барбадос,巴巴多斯,بربادوس
BRN,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,Бруней-Даруссалам,文莱达鲁萨兰国,بروني دار السلام
BTN,Bhutan,Bhoutan,Bhután,Бутан,不丹,بوتان
BVT,Bouvet Island,Île Bouvet,Isla Bouvet,Остров Буве,布维岛,جزيرة بوفيت
BWA,Botswana,Botswana,Botswana,Ботсвана,博茨瓦纳,بوتسوانا
CAF,Central African Republic,République centrafricaine,República Centroafricana,Центральноафриканская Республика,中非共和国,جمهورية أفريقيا الوسطى
CAN,Canada,Canada,Canadá,Канада,加拿大,كندا
CCK,Cocos (Keeling) Islands,Îles des Cocos (Keeling),Islas Cocos (Keeling),Кокосовых (Килинг) островов,科科斯（基林）群岛,جزر كوكس (كيلينغ)
CHE,Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا
CHL,Chile,Chili,Chile,Чили,智利,شيلي
CHN,China,Chine,China,Китай,中国,الصين
CIV,Côte d’Ivoire,Côte d’Ivoire,Côte d’Ivoire,Кот-д'Ивуар,科特迪瓦,كوت ديفوار
CMR,Cameroon,Cameroun,Camerún,Камерун,喀麦隆,الكاميرون
COD,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,Демократическая Республика Конго,刚果民主共和国,جمهورية الكونغو الديمقراطية
COG,Congo,Congo,Congo,Конго,刚果,الكونغو
